#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.2750000 	 -1.7500000 	 3.2788000 	 0.0141000 	 0.0832000 	 2.9309000 	 0.0587000 	 0.0234000 	 0.0160000 	 0.0142000 	 0.3235000
6.9000000 	 -1.2750000 	 -1.5000000 	 2.7528000 	 0.0166000 	 0.0667000 	 3.0734000 	 0.0380000 	 0.0142000 	 0.0104000 	 0.0091000 	 0.2065000
6.9000000 	 -1.2750000 	 -1.2500000 	 2.5316000 	 0.0153000 	 0.0461000 	 3.1072000 	 0.0217000 	 0.0081000 	 0.0065000 	 0.0053000 	 0.1206000
6.9000000 	 -1.2750000 	 -1.0000000 	 2.3919000 	 0.0118000 	 0.0289000 	 3.0144000 	 0.0122000 	 0.0046000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -1.2750000 	 -0.7500000 	 1.2607000 	 0.0110000 	 0.0200000 	 2.7699000 	 0.0354000 	 0.0038000 	 0.0026000 	 0.0058000 	 0.0755000
6.9000000 	 -1.2750000 	 -0.5000000 	 1.0281000 	 0.0087000 	 0.0133000 	 2.6608000 	 0.0322000 	 0.0031000 	 0.0025000 	 0.0051000 	 0.0621000
6.9000000 	 -1.1500000 	 -4.0000000 	 38.7924000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0025000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.1500000 	 -3.7500000 	 38.9386000 	 0.0000000 	 0.0000000 	 1.3191000 	 0.0014000 	 0.0049000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -1.1500000 	 -3.5000000 	 34.1557000 	 0.0000000 	 0.0000000 	 1.7184000 	 0.0071000 	 0.0093000 	 0.0266000 	 0.0034000 	 0.1995000
6.9000000 	 -1.1500000 	 -3.2500000 	 24.4531000 	 0.0000000 	 0.0013000 	 1.9862000 	 0.0186000 	 0.0165000 	 0.0325000 	 0.0078000 	 0.3761000
6.9000000 	 -1.1500000 	 -3.0000000 	 15.1609000 	 0.0000000 	 0.0078000 	 2.1285000 	 0.0353000 	 0.0268000 	 0.0372000 	 0.0130000 	 0.5205000
6.9000000 	 -1.1500000 	 -2.7500000 	 10.0777000 	 0.0000000 	 0.0235000 	 2.2403000 	 0.0541000 	 0.0391000 	 0.0385000 	 0.0176000 	 0.5994000
6.9000000 	 -1.1500000 	 -2.5000000 	 7.0433000 	 0.0010000 	 0.0520000 	 2.3642000 	 0.0705000 	 0.0494000 	 0.0354000 	 0.0207000 	 0.6060000
6.9000000 	 -1.1500000 	 -2.2500000 	 4.9775000 	 0.0050000 	 0.0869000 	 2.5280000 	 0.0793000 	 0.0521000 	 0.0296000 	 0.0212000 	 0.5515000
6.9000000 	 -1.1500000 	 -2.0000000 	 3.7744000 	 0.0114000 	 0.1108000 	 2.7358000 	 0.0754000 	 0.0446000 	 0.0228000 	 0.0189000 	 0.4499000
6.9000000 	 -1.1500000 	 -1.7500000 	 3.1680000 	 0.0186000 	 0.1092000 	 2.9346000 	 0.0588000 	 0.0312000 	 0.0160000 	 0.0142000 	 0.3238000
6.9000000 	 -1.1500000 	 -1.5000000 	 2.8246000 	 0.0218000 	 0.0872000 	 3.0699000 	 0.0380000 	 0.0190000 	 0.0105000 	 0.0091000 	 0.2063000
6.9000000 	 -1.1500000 	 -1.2500000 	 2.4711000 	 0.0201000 	 0.0604000 	 3.1090000 	 0.0217000 	 0.0109000 	 0.0065000 	 0.0053000 	 0.1206000
6.9000000 	 -1.1500000 	 -1.0000000 	 2.3693000 	 0.0156000 	 0.0378000 	 3.0147000 	 0.0122000 	 0.0062000 	 0.0040000 	 0.0029000 	 0.0673000
6.9000000 	 -1.1500000 	 -0.7500000 	 1.3286000 	 0.0146000 	 0.0264000 	 2.7712000 	 0.0352000 	 0.0050000 	 0.0026000 	 0.0058000 	 0.0751000
6.9000000 	 -1.1500000 	 -0.5000000 	 1.0222000 	 0.0116000 	 0.0177000 	 2.6607000 	 0.0322000 	 0.0041000 	 0.0025000 	 0.0051000 	 0.0620000
6.9000000 	 -1.0250000 	 -4.0000000 	 38.7889000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0034000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.0250000 	 -3.7500000 	 38.9334000 	 0.0000000 	 0.0000000 	 1.3191000 	 0.0014000 	 0.0065000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -1.0250000 	 -3.5000000 	 34.0783000 	 0.0000000 	 0.0000000 	 1.7208000 	 0.0071000 	 0.0125000 	 0.0266000 	 0.0034000 	 0.2000000
6.9000000 	 -1.0250000 	 -3.2500000 	 24.4541000 	 0.0000000 	 0.0017000 	 1.9864000 	 0.0186000 	 0.0221000 	 0.0325000 	 0.0078000 	 0.3760000
6.9000000 	 -1.0250000 	 -3.0000000 	 15.1591000 	 0.0000000 	 0.0103000 	 2.1287000 	 0.0353000 	 0.0358000 	 0.0371000 	 0.0130000 	 0.5204000
6.9000000 	 -1.0250000 	 -2.7500000 	 10.3056000 	 0.0000000 	 0.0308000 	 2.2337000 	 0.0538000 	 0.0520000 	 0.0384000 	 0.0176000 	 0.5971000
6.9000000 	 -1.0250000 	 -2.5000000 	 6.9095000 	 0.0013000 	 0.0685000 	 2.3698000 	 0.0706000 	 0.0660000 	 0.0354000 	 0.0207000 	 0.6072000
6.9000000 	 -1.0250000 	 -2.2500000 	 4.9460000 	 0.0065000 	 0.1144000 	 2.5328000 	 0.0794000 	 0.0696000 	 0.0297000 	 0.0213000 	 0.5524000
6.9000000 	 -1.0250000 	 -2.0000000 	 4.2160000 	 0.0150000 	 0.1450000 	 2.7283000 	 0.0750000 	 0.0593000 	 0.0228000 	 0.0188000 	 0.4485000
6.9000000 	 -1.0250000 	 -1.7500000 	 3.3789000 	 0.0243000 	 0.1429000 	 2.9283000 	 0.0585000 	 0.0416000 	 0.0160000 	 0.0142000 	 0.3230000
6.9000000 	 -1.0250000 	 -1.5000000 	 2.7495000 	 0.0287000 	 0.1145000 	 3.0749000 	 0.0380000 	 0.0253000 	 0.0104000 	 0.0091000 	 0.2065000
6.9000000 	 -1.0250000 	 -1.2500000 	 2.4358000 	 0.0265000 	 0.0791000 	 3.1103000 	 0.0217000 	 0.0145000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -1.0250000 	 -1.0000000 	 2.2941000 	 0.0206000 	 0.0497000 	 3.0145000 	 0.0122000 	 0.0083000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -1.0250000 	 -0.7500000 	 1.3386000 	 0.0194000 	 0.0349000 	 2.7658000 	 0.0357000 	 0.0067000 	 0.0026000 	 0.0058000 	 0.0760000
6.9000000 	 -1.0250000 	 -0.5000000 	 1.1477000 	 0.0153000 	 0.0234000 	 2.6629000 	 0.0319000 	 0.0056000 	 0.0025000 	 0.0051000 	 0.0617000
6.9000000 	 -0.9000000 	 -4.0000000 	 38.7851000 	 0.0000000 	 0.0000000 	 0.9060000 	 0.0000000 	 0.0045000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -0.9000000 	 -3.7500000 	 38.9354000 	 0.0000000 	 0.0000000 	 1.3191000 	 0.0014000 	 0.0087000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -0.9000000 	 -3.5000000 	 34.3405000 	 0.0000000 	 0.0000000 	 1.7117000 	 0.0070000 	 0.0165000 	 0.0265000 	 0.0034000 	 0.1978000
6.9000000 	 -0.9000000 	 -3.2500000 	 24.4620000 	 0.0000000 	 0.0035000 	 1.9880000 	 0.0187000 	 0.0294000 	 0.0325000 	 0.0078000 	 0.3764000
6.9000000 	 -0.9000000 	 -3.0000000 	 15.1791000 	 0.0000000 	 0.0136000 	 2.1279000 	 0.0353000 	 0.0476000 	 0.0371000 	 0.0130000 	 0.5202000
6.9000000 	 -0.9000000 	 -2.7500000 	 9.9167000 	 0.0000000 	 0.0408000 	 2.2466000 	 0.0542000 	 0.0697000 	 0.0385000 	 0.0177000 	 0.6010000
6.9000000 	 -0.9000000 	 -2.5000000 	 7.1133000 	 0.0018000 	 0.0897000 	 2.3626000 	 0.0703000 	 0.0877000 	 0.0354000 	 0.0206000 	 0.6053000
6.9000000 	 -0.9000000 	 -2.2500000 	 5.0074000 	 0.0087000 	 0.1503000 	 2.5317000 	 0.0793000 	 0.0926000 	 0.0296000 	 0.0212000 	 0.5519000
6.9000000 	 -0.9000000 	 -2.0000000 	 4.2195000 	 0.0196000 	 0.1908000 	 2.7294000 	 0.0750000 	 0.0791000 	 0.0228000 	 0.0188000 	 0.4486000
6.9000000 	 -0.9000000 	 -1.7500000 	 3.3348000 	 0.0317000 	 0.1880000 	 2.9313000 	 0.0585000 	 0.0555000 	 0.0160000 	 0.0142000 	 0.3232000
6.9000000 	 -0.9000000 	 -1.5000000 	 2.7447000 	 0.0376000 	 0.1505000 	 3.0765000 	 0.0380000 	 0.0338000 	 0.0104000 	 0.0091000 	 0.2066000
6.9000000 	 -0.9000000 	 -1.2500000 	 2.4647000 	 0.0349000 	 0.1037000 	 3.1105000 	 0.0217000 	 0.0193000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -0.9000000 	 -1.0000000 	 2.3418000 	 0.0272000 	 0.0652000 	 3.0158000 	 0.0122000 	 0.0111000 	 0.0040000 	 0.0029000 	 0.0673000
6.9000000 	 -0.9000000 	 -0.7500000 	 1.3432000 	 0.0258000 	 0.0460000 	 2.7669000 	 0.0356000 	 0.0090000 	 0.0026000 	 0.0058000 	 0.0757000
6.9000000 	 -0.9000000 	 -0.5000000 	 1.0462000 	 0.0204000 	 0.0311000 	 2.6615000 	 0.0321000 	 0.0074000 	 0.0025000 	 0.0051000 	 0.0619000
6.9000000 	 -0.7750000 	 -4.0000000 	 38.7791000 	 0.0000000 	 0.0000000 	 0.9060000 	 0.0000000 	 0.0060000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -0.7750000 	 -3.7500000 	 38.9263000 	 0.0000000 	 0.0000000 	 1.3192000 	 0.0014000 	 0.0116000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -0.7750000 	 -3.5000000 	 34.0873000 	 0.0000000 	 0.0000000 	 1.7203000 	 0.0071000 	 0.0221000 	 0.0266000 	 0.0034000 	 0.1998000
6.9000000 	 -0.7750000 	 -3.2500000 	 24.4623000 	 0.0000000 	 0.0045000 	 1.9879000 	 0.0186000 	 0.0392000 	 0.0325000 	 0.0078000 	 0.3762000
6.9000000 	 -0.7750000 	 -3.0000000 	 15.1603000 	 0.0000000 	 0.0180000 	 2.1290000 	 0.0352000 	 0.0635000 	 0.0371000 	 0.0130000 	 0.5203000
6.9000000 	 -0.7750000 	 -2.7500000 	 10.1450000 	 0.0000000 	 0.0534000 	 2.2387000 	 0.0539000 	 0.0926000 	 0.0384000 	 0.0176000 	 0.5983000
6.9000000 	 -0.7750000 	 -2.5000000 	 7.2040000 	 0.0036000 	 0.1177000 	 2.3609000 	 0.0702000 	 0.1166000 	 0.0354000 	 0.0206000 	 0.6043000
6.9000000 	 -0.7750000 	 -2.2500000 	 4.8806000 	 0.0114000 	 0.1983000 	 2.5367000 	 0.0793000 	 0.1235000 	 0.0297000 	 0.0213000 	 0.5528000
6.9000000 	 -0.7750000 	 -2.0000000 	 3.9575000 	 0.0257000 	 0.2516000 	 2.7356000 	 0.0751000 	 0.1056000 	 0.0228000 	 0.0188000 	 0.4494000
6.9000000 	 -0.7750000 	 -1.7500000 	 3.3434000 	 0.0414000 	 0.2475000 	 2.9332000 	 0.0585000 	 0.0741000 	 0.0160000 	 0.0142000 	 0.3232000
6.9000000 	 -0.7750000 	 -1.5000000 	 2.7521000 	 0.0492000 	 0.1978000 	 3.0779000 	 0.0380000 	 0.0452000 	 0.0104000 	 0.0091000 	 0.2066000
6.9000000 	 -0.7750000 	 -1.2500000 	 2.4117000 	 0.0457000 	 0.1364000 	 3.1117000 	 0.0217000 	 0.0258000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -0.7750000 	 -1.0000000 	 2.2543000 	 0.0359000 	 0.0856000 	 3.0159000 	 0.0122000 	 0.0147000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -0.7750000 	 -0.7500000 	 1.2235000 	 0.0341000 	 0.0607000 	 2.7723000 	 0.0350000 	 0.0118000 	 0.0026000 	 0.0057000 	 0.0749000
6.9000000 	 -0.7750000 	 -0.5000000 	 1.0602000 	 0.0272000 	 0.0415000 	 2.6561000 	 0.0325000 	 0.0099000 	 0.0025000 	 0.0051000 	 0.0624000
6.9000000 	 -0.6500000 	 -4.0000000 	 38.7722000 	 0.0000000 	 0.0000000 	 0.9061000 	 0.0000000 	 0.0080000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -0.6500000 	 -3.7500000 	 38.9051000 	 0.0000000 	 0.0000000 	 1.3194000 	 0.0014000 	 0.0155000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -0.6500000 	 -3.5000000 	 34.1247000 	 0.0000000 	 0.0000000 	 1.7189000 	 0.0071000 	 0.0294000 	 0.0266000 	 0.0034000 	 0.1994000
6.9000000 	 -0.6500000 	 -3.2500000 	 24.4568000 	 0.0000000 	 0.0061000 	 1.9878000 	 0.0186000 	 0.0521000 	 0.0325000 	 0.0078000 	 0.3761000
6.9000000 	 -0.6500000 	 -3.0000000 	 15.1549000 	 0.0000000 	 0.0238000 	 2.1294000 	 0.0352000 	 0.0846000 	 0.0371000 	 0.0129000 	 0.5202000
6.9000000 	 -0.6500000 	 -2.7500000 	 9.9779000 	 0.0000000 	 0.0703000 	 2.2452000 	 0.0541000 	 0.1237000 	 0.0385000 	 0.0177000 	 0.6004000
6.9000000 	 -0.6500000 	 -2.5000000 	 6.8422000 	 0.0047000 	 0.1556000 	 2.3704000 	 0.0704000 	 0.1560000 	 0.0354000 	 0.0207000 	 0.6067000
6.9000000 	 -0.6500000 	 -2.2500000 	 4.9185000 	 0.0149000 	 0.2608000 	 2.5354000 	 0.0791000 	 0.1643000 	 0.0297000 	 0.0212000 	 0.5521000
6.9000000 	 -0.6500000 	 -2.0000000 	 3.9112000 	 0.0335000 	 0.3322000 	 2.7414000 	 0.0750000 	 0.1411000 	 0.0228000 	 0.0188000 	 0.4499000
6.9000000 	 -0.6500000 	 -1.7500000 	 3.1909000 	 0.0543000 	 0.3272000 	 2.9414000 	 0.0585000 	 0.0995000 	 0.0160000 	 0.0142000 	 0.3239000
6.9000000 	 -0.6500000 	 -1.5000000 	 2.7510000 	 0.0643000 	 0.2606000 	 3.0800000 	 0.0380000 	 0.0606000 	 0.0104000 	 0.0091000 	 0.2067000
6.9000000 	 -0.6500000 	 -1.2500000 	 2.4568000 	 0.0600000 	 0.1793000 	 3.1126000 	 0.0217000 	 0.0346000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -0.6500000 	 -1.0000000 	 2.4080000 	 0.0473000 	 0.1125000 	 3.0155000 	 0.0121000 	 0.0197000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -0.6500000 	 -0.7500000 	 1.2308000 	 0.0454000 	 0.0805000 	 2.7695000 	 0.0353000 	 0.0159000 	 0.0026000 	 0.0058000 	 0.0752000
6.9000000 	 -0.6500000 	 -0.5000000 	 1.0727000 	 0.0361000 	 0.0546000 	 2.6639000 	 0.0319000 	 0.0130000 	 0.0025000 	 0.0050000 	 0.0617000
6.9000000 	 -0.5250000 	 -4.0000000 	 38.7623000 	 0.0000000 	 0.0000000 	 0.9062000 	 0.0000000 	 0.0107000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -0.5250000 	 -3.7500000 	 38.8652000 	 0.0000000 	 0.0000000 	 1.3202000 	 0.0014000 	 0.0206000 	 0.0210000 	 0.0011000 	 0.0750000
6.9000000 	 -0.5250000 	 -3.5000000 	 34.1137000 	 0.0000000 	 0.0011000 	 1.7190000 	 0.0071000 	 0.0392000 	 0.0266000 	 0.0034000 	 0.1994000
6.9000000 	 -0.5250000 	 -3.2500000 	 24.4517000 	 0.0000000 	 0.0081000 	 1.9879000 	 0.0186000 	 0.0695000 	 0.0324000 	 0.0078000 	 0.3760000
6.9000000 	 -0.5250000 	 -3.0000000 	 15.1598000 	 0.0000000 	 0.0314000 	 2.1294000 	 0.0351000 	 0.1127000 	 0.0371000 	 0.0129000 	 0.5200000
6.9000000 	 -0.5250000 	 -2.7500000 	 10.1654000 	 0.0000000 	 0.0921000 	 2.2407000 	 0.0538000 	 0.1643000 	 0.0384000 	 0.0176000 	 0.5982000
6.9000000 	 -0.5250000 	 -2.5000000 	 6.8237000 	 0.0062000 	 0.2050000 	 2.3728000 	 0.0703000 	 0.2080000 	 0.0354000 	 0.0206000 	 0.6070000
6.9000000 	 -0.5250000 	 -2.2500000 	 4.9710000 	 0.0194000 	 0.3434000 	 2.5356000 	 0.0789000 	 0.2188000 	 0.0297000 	 0.0212000 	 0.5517000
6.9000000 	 -0.5250000 	 -2.0000000 	 4.0194000 	 0.0437000 	 0.4374000 	 2.7407000 	 0.0747000 	 0.1883000 	 0.0228000 	 0.0188000 	 0.4493000
6.9000000 	 -0.5250000 	 -1.7500000 	 3.3355000 	 0.0707000 	 0.4309000 	 2.9396000 	 0.0583000 	 0.1332000 	 0.0161000 	 0.0142000 	 0.3234000
6.9000000 	 -0.5250000 	 -1.5000000 	 2.7548000 	 0.0841000 	 0.3434000 	 3.0798000 	 0.0378000 	 0.0814000 	 0.0105000 	 0.0091000 	 0.2065000
6.9000000 	 -0.5250000 	 -1.2500000 	 2.5774000 	 0.0789000 	 0.2362000 	 3.1145000 	 0.0217000 	 0.0465000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -0.5250000 	 -1.0000000 	 2.2768000 	 0.0625000 	 0.1484000 	 3.0184000 	 0.0121000 	 0.0264000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -0.5250000 	 -0.7500000 	 1.3487000 	 0.0603000 	 0.1065000 	 2.7679000 	 0.0351000 	 0.0212000 	 0.0026000 	 0.0058000 	 0.0752000
6.9000000 	 -0.5250000 	 -0.5000000 	 1.0867000 	 0.0480000 	 0.0726000 	 2.6612000 	 0.0319000 	 0.0174000 	 0.0025000 	 0.0051000 	 0.0618000
6.9000000 	 -0.4000000 	 -4.0000000 	 38.7504000 	 0.0000000 	 0.0000000 	 0.9064000 	 0.0000000 	 0.0143000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -0.4000000 	 -3.7500000 	 38.8449000 	 0.0000000 	 0.0000000 	 1.3203000 	 0.0014000 	 0.0275000 	 0.0210000 	 0.0011000 	 0.0750000
6.9000000 	 -0.4000000 	 -3.5000000 	 34.6255000 	 0.0000000 	 0.0014000 	 1.6999000 	 0.0069000 	 0.0515000 	 0.0264000 	 0.0033000 	 0.1947000
6.9000000 	 -0.4000000 	 -3.2500000 	 24.4417000 	 0.0000000 	 0.0107000 	 1.9885000 	 0.0186000 	 0.0927000 	 0.0324000 	 0.0078000 	 0.3761000
6.9000000 	 -0.4000000 	 -3.0000000 	 15.1295000 	 0.0000000 	 0.0413000 	 2.1308000 	 0.0351000 	 0.1502000 	 0.0371000 	 0.0129000 	 0.5202000
6.9000000 	 -0.4000000 	 -2.7500000 	 10.1681000 	 0.0012000 	 0.1210000 	 2.2407000 	 0.0537000 	 0.2186000 	 0.0384000 	 0.0175000 	 0.5977000
6.9000000 	 -0.4000000 	 -2.5000000 	 7.1101000 	 0.0082000 	 0.2685000 	 2.3648000 	 0.0698000 	 0.2755000 	 0.0354000 	 0.0205000 	 0.6041000
6.9000000 	 -0.4000000 	 -2.2500000 	 4.9473000 	 0.0254000 	 0.4521000 	 2.5392000 	 0.0787000 	 0.2916000 	 0.0297000 	 0.0211000 	 0.5517000
6.9000000 	 -0.4000000 	 -2.0000000 	 3.9488000 	 0.0569000 	 0.5772000 	 2.7472000 	 0.0747000 	 0.2522000 	 0.0228000 	 0.0188000 	 0.4498000
6.9000000 	 -0.4000000 	 -1.7500000 	 3.2890000 	 0.0925000 	 0.5692000 	 2.9455000 	 0.0582000 	 0.1791000 	 0.0161000 	 0.0142000 	 0.3237000
6.9000000 	 -0.4000000 	 -1.5000000 	 2.8763000 	 0.1102000 	 0.4531000 	 3.0833000 	 0.0377000 	 0.1097000 	 0.0105000 	 0.0091000 	 0.2066000
6.9000000 	 -0.4000000 	 -1.2500000 	 2.5380000 	 0.1036000 	 0.3116000 	 3.1167000 	 0.0217000 	 0.0627000 	 0.0065000 	 0.0053000 	 0.1208000
6.9000000 	 -0.4000000 	 -1.0000000 	 2.3112000 	 0.0825000 	 0.1957000 	 3.0195000 	 0.0121000 	 0.0355000 	 0.0040000 	 0.0029000 	 0.0673000
6.9000000 	 -0.4000000 	 -0.7500000 	 1.6629000 	 0.0764000 	 0.1335000 	 2.8359000 	 0.0272000 	 0.0247000 	 0.0024000 	 0.0045000 	 0.0627000
6.9000000 	 -0.4000000 	 -0.5000000 	 1.0807000 	 0.0639000 	 0.0961000 	 2.6615000 	 0.0319000 	 0.0232000 	 0.0025000 	 0.0051000 	 0.0618000
6.9000000 	 -0.2750000 	 -4.0000000 	 38.7370000 	 0.0000000 	 0.0000000 	 0.9067000 	 0.0000000 	 0.0190000 	 0.0162000 	 0.0000000 	 0.0261000
6.9000000 	 -0.2750000 	 -3.7500000 	 39.0632000 	 0.0000000 	 0.0000000 	 1.3149000 	 0.0014000 	 0.0363000 	 0.0209000 	 0.0010000 	 0.0737000
6.9000000 	 -0.2750000 	 -3.5000000 	 34.0806000 	 0.0000000 	 0.0019000 	 1.7192000 	 0.0071000 	 0.0697000 	 0.0266000 	 0.0034000 	 0.1992000
6.9000000 	 -0.2750000 	 -3.2500000 	 24.4328000 	 0.0000000 	 0.0142000 	 1.9885000 	 0.0186000 	 0.1235000 	 0.0324000 	 0.0078000 	 0.3759000
6.9000000 	 -0.2750000 	 -3.0000000 	 15.1301000 	 0.0000000 	 0.0543000 	 2.1314000 	 0.0350000 	 0.2001000 	 0.0371000 	 0.0129000 	 0.5199000
6.9000000 	 -0.2750000 	 -2.7500000 	 10.1679000 	 0.0016000 	 0.1591000 	 2.2421000 	 0.0535000 	 0.2910000 	 0.0384000 	 0.0175000 	 0.5975000
6.9000000 	 -0.2750000 	 -2.5000000 	 6.8597000 	 0.0107000 	 0.3548000 	 2.3761000 	 0.0699000 	 0.3677000 	 0.0354000 	 0.0206000 	 0.6062000
6.9000000 	 -0.2750000 	 -2.2500000 	 4.7604000 	 0.0331000 	 0.5966000 	 2.5498000 	 0.0786000 	 0.3896000 	 0.0297000 	 0.0212000 	 0.5531000
